"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"MSC","Neural","TF","TFR2","Ligand","Receptor",0.309274739663304
"MSC","Neural","LGALS1","ITGB1","Ligand","Receptor",0.68935251396511
"MSC","Neural","SPP1","CD44","Ligand","Receptor",0.155088549468214
"MSC","Neural","CCL2","ACKR1","Ligand","Receptor",0.296573962892846
"MSC","Neural","VCAN","ITGB1","Ligand","Receptor",0.749787560938936
"MSC","Neural","VCAN","CD44","Ligand","Receptor",0.82822563818463
"MSC","Neural","HGF","ITGB1","Ligand","Receptor",0.278753274417005
"MSC","Neural","HGF","CD44","Ligand","Receptor",0.357191351662699
"MSC","Neural","NID1","PTPRF","Ligand","Receptor",0.0869055990729693
"MSC","Neural","CXCL2","ACKR1","Ligand","Receptor",0.20075856054737
"MSC","Neural","FGF7","FGFR4","Ligand","Receptor",0.131515056378473
"MSC","Neural","CXCL12","ITGB1","Ligand","Receptor",1.09010430961341
"MSC","Neural","CXCL12","CXCR4","Ligand","Receptor",1.08151587247653
"MSC","Neural","LUM","ITGB1","Ligand","Receptor",0.511791905457881
"MSC","Neural","COL16A1","ITGA1","Ligand","Receptor",0.229524173241693
"MSC","Neural","LGALS3BP","ITGB1","Ligand","Receptor",0.266040875872762
"MSC","Neural","CCL14","ACKR1","Ligand","Receptor",0.196536107998613
"MSC","Neural","COL21A1","ITGA1","Ligand","Receptor",0.123037296407072
"MSC","Neural","RARRES2","CCRL2","Ligand","Receptor",0.418641140159691
"MSC","Neural","TXLNA","STX4","Ligand","Receptor",0.158137299078053
"MSC","Neural","COL8A1","ITGA1","Ligand","Receptor",0.137886624336068
"MSC","Neural","COL5A3","ITGA1","Ligand","Receptor",0.214487185386389
"MSC","Neural","COL5A2","ITGA1","Ligand","Receptor",0.201256264764412
"MSC","Neural","COL5A1","ITGA1","Ligand","Receptor",0.19455412928141
"MSC","Neural","COL3A1","ITGA1","Ligand","Receptor",0.531848827449303
"MSC","Neural","COL11A1","ITGA1","Ligand","Receptor",0.179135891028921
"MSC","Neural","APOE","SORL1","Ligand","Receptor",1.11770412017443
"MSC","Neural","SLPI","PLSCR4","Ligand","Receptor",0.332147265075815
"MSC","Neural","HMGB1","THBD","Ligand","Receptor",0.756935992936688
"MSC","Neural","CP","SLC40A1","Ligand","Receptor",0.949366314810133
"MSC","Neural","VIM","CD44","Ligand","Receptor",1.0255260834208
"MSC","Neural","SLPI","PLSCR1","Ligand","Receptor",0.34005668987665
"MSC","Neural","TIMP2","CD44","Ligand","Receptor",0.209148755617495
"MSC","Neural","TIMP3","CD44","Ligand","Receptor",0.290761514384756
"MSC","Neural","LPL","CD44","Ligand","Receptor",0.228440285970385
"MSC","Neural","PSEN1","CD44","Ligand","Receptor",0.142160081152079
"MSC","Neural","ICAM4","RHAG","Ligand","Receptor",0.313063078818889
"MSC","Neural","HMGB1","CXCR4","Ligand","Receptor",0.759277918255952
"MSC","Neural","HMGB1","CD163","Ligand","Receptor",0.757442077675117
"MSC","Neural","LGALS9","SLC1A5","Ligand","Receptor",0.313562380842704
"MSC","Neural","MDK","SORL1","Ligand","Receptor",0.641964350511699
"MSC","Neural","MDK","NCL","Ligand","Receptor",0.683178886766147
"MSC","Neural","VEGFA","CD44","Ligand","Receptor",0.15771892243264
"MSC","MSC","LGALS9","LRP1","Ligand","Receptor",0.203291123255004
"MSC","MSC","LGALS9","MRC2","Ligand","Receptor",0.222921287175746
"MSC","MSC","ADAM10","NOTCH2","Ligand","Receptor",0.12149236472643
"MSC","MSC","HLA-DRA","CD4","Ligand","Receptor",0.202235329351543
"MSC","MSC","HLA-DRA","LAG3","Ligand","Receptor",0.170682426646376
"MSC","MSC","HLA-DRB1","CD4","Ligand","Receptor",0.318835820154147
"MSC","MSC","HLA-DRB1","LAG3","Ligand","Receptor",0.287282917448979
"MSC","MSC","HLA-DQB1","CD4","Ligand","Receptor",0.0985106255351674
"MSC","MSC","HLA-DQB1","LAG3","Ligand","Receptor",0.06695772283
"MSC","MSC","HLA-DPB1","CD4","Ligand","Receptor",0.224208294783531
"MSC","MSC","HLA-DPB1","LAG3","Ligand","Receptor",0.192655392078363
"MSC","MSC","APP","TSPAN15","Ligand","Receptor",0.192810918623069
"MSC","MSC","APP","CD74","Ligand","Receptor",0.454021087520632
"MSC","MSC","APP","NGFR","Ligand","Receptor",0.141921338421295
"MSC","MSC","APP","NOTCH2","Ligand","Receptor",0.212942860722802
"MSC","MSC","APP","APLP2","Ligand","Receptor",0.237838752366679
"MSC","MSC","APP","LRP1","Ligand","Receptor",0.315036271410307
"MSC","MSC","ITGB2","THY1","Ligand","Receptor",0.331468114920199
"MSC","MSC","ITGAV","THY1","Ligand","Receptor",0.359540348285834
"MSC","MSC","THBS1","CD36","Ligand","Receptor",0.374065019210289
"MSC","MSC","THBS1","LRP1","Ligand","Receptor",0.463688022032791
"MSC","MSC","THBS1","CD47","Ligand","Receptor",0.42631398978414
"MSC","MSC","CSF1","SIRPA","Ligand","Receptor",0.162688584605805
"MSC","MSC","HLA-DPA1","CD4","Ligand","Receptor",0.136427976450972
"MSC","MSC","HLA-DPA1","LAG3","Ligand","Receptor",0.104875073745804
"MSC","MSC","HLA-DMA","CD4","Ligand","Receptor",0.175375336200252
"MSC","MSC","SIRPA","CD47","Ligand","Receptor",0.177121759628723
"MSC","MSC","ADAM17","ITGB1","Ligand","Receptor",0.297869330897044
"MSC","MSC","ADAM17","ITGA5","Ligand","Receptor",0.16425312058413
"MSC","MSC","EFNB1","ERBB2","Ligand","Receptor",0.0885878551807456
"MSC","MSC","CD47","SIRPA","Ligand","Receptor",0.177121759628723
"MSC","MSC","ADAM9","ITGB1","Ligand","Receptor",0.24913609779141
"MSC","MSC","ADAM9","ITGAV","Ligand","Receptor",0.178415779598862
"MSC","MSC","ADAM9","ITGB5","Ligand","Receptor",0.145933282443592
"MSC","MSC","ADAM15","ITGB1","Ligand","Receptor",0.228841445632478
"MSC","MSC","ADAM15","ITGAV","Ligand","Receptor",0.158121127439931
"MSC","MSC","ADAM15","ITGA5","Ligand","Receptor",0.0952252353195645
"MSC","MSC","ICAM4","ITGAV","Ligand","Receptor",0.168007044868364
"MSC","MSC","HLA-DRB5","CD4","Ligand","Receptor",0.152002495577124
"MSC","MSC","HLA-DRB5","LAG3","Ligand","Receptor",0.120449592871957
"MSC","MSC","BTLA","TNFRSF14","Ligand","Receptor",0.0858991310959111
"MSC","MSC","PDGFC","PDGFRB","Ligand","Receptor",0.207771570003836
"MSC","MSC","TNFSF13B","HLA-DPB1","Ligand","Receptor",0.184214669692817
"MSC","MSC","TNFSF13B","CD40","Ligand","Receptor",0.11064644895332
"MSC","MSC","AGRN","ITGB1","Ligand","Receptor",0.25786571525915
"MSC","MSC","AGRN","LRP1","Ligand","Receptor",0.232315392881676
"MSC","MSC","COL1A1","ITGA10","Ligand","Receptor",0.798351127687173
"MSC","MSC","COL1A1","ITGA1","Ligand","Receptor",0.801107688718
"MSC","MSC","COL1A1","ITGA11","Ligand","Receptor",0.814079679386943
"MSC","MSC","COL1A1","ITGA5","Ligand","Receptor",0.72586742887165
"MSC","MSC","COL1A1","CD44","Ligand","Receptor",0.667912877467505
"MSC","MSC","COL1A1","CD36","Ligand","Receptor",0.744310313984586
"MSC","MSC","COL1A1","DDR2","Ligand","Receptor",0.784843343943094
"MSC","MSC","COL1A1","CD93","Ligand","Receptor",0.665304008191104
"MSC","MSC","COL4A1","ITGA10","Ligand","Receptor",0.252421776100553
"MSC","MSC","COL4A1","ITGA1","Ligand","Receptor",0.255178337131381
"MSC","MSC","COL4A1","ITGA11","Ligand","Receptor",0.268150327800323
"MSC","MSC","COL4A1","CD47","Ligand","Receptor",0.250629932971818
"MSC","MSC","COL4A1","CD93","Ligand","Receptor",0.119374656604485
"MSC","MSC","FN1","ITGAV","Ligand","Receptor",0.521683438518243
"MSC","MSC","FN1","ITGA5","Ligand","Receptor",0.49023549245806
"MSC","MSC","FN1","CD44","Ligand","Receptor",0.365472835897458
"MSC","MSC","FN1","PLAUR","Ligand","Receptor",0.437518977257601
"MSC","MSC","FN1","IL17RC","Ligand","Receptor",0.367384187307885
"MSC","MSC","VWF","LRP1","Ligand","Receptor",0.241355313278637
"MSC","MSC","LAMB1","ITGA1","Ligand","Receptor",0.175711113601807
"MSC","MSC","COL1A2","ITGA10","Ligand","Receptor",0.82081095870019
"MSC","MSC","COL1A2","ITGA1","Ligand","Receptor",0.823567519731017
"MSC","MSC","COL1A2","ITGA11","Ligand","Receptor",0.83653951039996
"MSC","MSC","COL1A2","CD44","Ligand","Receptor",0.690372708480522
"MSC","MSC","COL1A2","CD36","Ligand","Receptor",0.766770144997603
"MSC","MSC","COL1A2","CD93","Ligand","Receptor",0.687763839204121
"MSC","MSC","COL4A2","ITGA10","Ligand","Receptor",0.219146899877905
"MSC","MSC","COL4A2","ITGA1","Ligand","Receptor",0.221903460908733
"MSC","MSC","COL4A2","ITGA11","Ligand","Receptor",0.234875451577675
"MSC","MSC","COL4A2","ITGB5","Ligand","Receptor",0.177076596027478
"MSC","MSC","COL4A2","CD93","Ligand","Receptor",0.0860997803818368
"MSC","MSC","COL6A1","ITGA10","Ligand","Receptor",0.386164526067153
"MSC","MSC","COL6A1","ITGA1","Ligand","Receptor",0.388921087097981
"MSC","MSC","COL6A1","ITGA11","Ligand","Receptor",0.401893077766923
"MSC","MSC","COL6A1","CD44","Ligand","Receptor",0.255726275847485
"MSC","MSC","COL6A2","ITGA10","Ligand","Receptor",0.671565606636131
"MSC","MSC","COL6A2","ITGA1","Ligand","Receptor",0.674322167666959
"MSC","MSC","COL6A2","ITGA11","Ligand","Receptor",0.687294158335901
"MSC","MSC","COL6A2","CD44","Ligand","Receptor",0.541127356416463
"MSC","MSC","COL6A3","ITGA10","Ligand","Receptor",0.501365995725444
"MSC","MSC","COL6A3","ITGA1","Ligand","Receptor",0.504122556756272
"MSC","MSC","COL6A3","ITGA11","Ligand","Receptor",0.517094547425214
"MSC","MSC","COL6A3","CD44","Ligand","Receptor",0.370927745505776
"MSC","MSC","IBSP","ITGB5","Ligand","Receptor",0.342110238449426
"MSC","MSC","TNC","ITGA5","Ligand","Receptor",0.470576504631049
"MSC","MSC","THBS2","CD47","Ligand","Receptor",0.273990317095331
"MSC","MSC","THBS2","NOTCH3","Ligand","Receptor",0.367124016052855
"MSC","MSC","HSPG2","ITGB1","Ligand","Receptor",0.413347593955102
"MSC","MSC","HSPG2","FGFR1","Ligand","Receptor",0.321964670917611
"MSC","MSC","HSPG2","LRP1","Ligand","Receptor",0.387797271577628
"MSC","MSC","HSPG2","PTPRS","Ligand","Receptor",0.25799217647196
"MSC","MSC","LAMA4","CD44","Ligand","Receptor",0.28508513316756
"MSC","MSC","GDF11","BMPR2","Ligand","Receptor",0.113065028516764
"MSC","MSC","HP","ITGB2","Ligand","Receptor",0.194836371195382
"MSC","MSC","TGFB1","ITGB1","Ligand","Receptor",0.300127954477905
"MSC","MSC","TGFB1","ITGB5","Ligand","Receptor",0.196925139130088
