"","PC1","PC2","PC3","PC4","PC5","PC6"
"GRN/MSC",-0.666982921129479,-0.12683721977631,0.406765711460371,0.0933731302450675,-0.0365151028003253,-0.0511005779304604
"GRN/Fibroblast",-0.615220403796099,-0.493890206304712,0.190393244984638,0.394368919163927,0.0269753721955657,0.0528617727889001
"GRN/Megakaryocyte",-0.615219051626849,-0.493889886011086,0.190393130528074,0.394368287609774,0.0269762322662192,0.0528632941939023
"ROBO3/Neural",-0.667037189750993,-0.12685007710401,0.406770311023253,0.0933984923263016,-0.0365496586626887,-0.0511616558284163
"ROBO3/MSC",-0.667037189750993,-0.12685007710401,0.406770311023253,0.0933984923263016,-0.0365496586626887,-0.0511616558284163
"ROBO3/Fibroblast",-0.667037189750993,-0.12685007710401,0.406770311023253,0.0933984923263016,-0.0365496586626887,-0.0511616558284163
"ROBO3/Megakaryocyte",-0.667037189750993,-0.12685007710401,0.406770311023253,0.0933984923263016,-0.0365496586626887,-0.0511616558284163
"ROBO3/Myeloid",-0.667037189750993,-0.12685007710401,0.406770311023253,0.0933984923263016,-0.0365496586626887,-0.0511616558284163
"RTN4/MSC",-0.68401287134508,-0.00443311191110524,0.478870887395641,-0.00706352603438831,-0.0575359746594626,-0.0855024095290791
"RTN4/Fibroblast",-0.684003768043207,-0.0044309555772217,0.478870116833938,-0.00706777788448035,-0.0575301843599505,-0.0854921668757616
"TLR6/Neural",-0.651691841514172,0.455668034082145,0.0593707598334469,-0.349804728149996,-0.174201473190472,-0.144208902912157
"TLR6/MSC",-0.651691841514172,0.455668034082145,0.0593707598334469,-0.349804728149996,-0.174201473190472,-0.144208902912157
"TLR6/Fibroblast",-0.651691841514172,0.455668034082145,0.0593707598334469,-0.349804728149996,-0.174201473190472,-0.144208902912157
"TLR6/Megakaryocyte",-0.651691841514172,0.455668034082145,0.0593707598334469,-0.349804728149996,-0.174201473190472,-0.144208902912157
"TLR6/Myeloid",-0.651691841514172,0.455668034082145,0.0593707598334469,-0.349804728149996,-0.174201473190472,-0.144208902912157
"C1QA/Megakaryocyte",-0.735814216803708,0.615486776891562,0.836573979411468,-0.524822652564287,-0.141428771339104,-0.219989441142837
"C1QA/Myeloid",-0.736443489647865,0.615337718666728,0.836627245002744,-0.524528740331665,-0.141829029756056,-0.220697472291035
"ESAM/Neural",-0.624864624399351,-0.369736645683441,0.261873323816658,0.290482832303929,0.01065181550241,0.0267698277979392
"ESAM/MSC",-0.624864624399351,-0.369736645683441,0.261873323816658,0.290482832303929,0.01065181550241,0.0267698277979392
"ESAM/Fibroblast",-0.624864624399351,-0.369736645683441,0.261873323816658,0.290482832303929,0.01065181550241,0.0267698277979392
"ESAM/Megakaryocyte",-0.662888625200126,0.000570634744373216,0.477082876688698,-0.0169297557137153,-0.044100072863321,-0.0617345272578011
"ESAM/Myeloid",-0.624864624399351,-0.369736645683441,0.261873323816658,0.290482832303929,0.01065181550241,0.0267698277979392
"HLA-F/MSC",-0.757283573474721,0.841694351765843,0.17688616799888,0.190786521584923,-0.0568646431238355,-0.120882471995316
"HLA-F/Myeloid",-0.806394388712483,1.82680150700825,-0.278629102971638,0.431951333559285,-0.044101610957682,-0.129959831023775
"DKK1/Myeloid",-0.753303196351227,0.484906053059977,0.767390671705798,-0.408263438392166,-0.142363992019732,-0.22442676034049
"ICAM1/Neural",-0.538680976068521,0.156440711771839,-0.783337087688033,-0.0720388929024921,-0.182967830042009,-0.0947263190825375
"ICAM1/MSC",-0.541972611846369,0.193754224432579,-0.799298174846382,-0.0400141368295631,-0.176851713486826,-0.0910206703460461
"ICAM1/Fibroblast",-0.538680976068521,0.156440711771839,-0.783337087688033,-0.0720388929024921,-0.182967830042009,-0.0947263190825374
"ICAM1/Megakaryocyte",-0.538680976068521,0.156440711771839,-0.783337087688033,-0.0720388929024922,-0.182967830042009,-0.0947263190825374
"ICAM1/Myeloid",-0.54087539992042,0.181316386878998,-0.793977812460266,-0.0506890555205395,-0.17889041900522,-0.0922558865915433
"ITGAM/Megakaryocyte",-0.772161060380272,5.12233717006338,-4.73545117851384,2.42174540489052,-0.0272671537479703,0.156096168274968
"ITGAM/Myeloid",-0.276754263865979,2.04641132715105,-5.02537038552892,-1.25481463323234,-0.944251334431975,-0.349513448837665
"IBSP/MSC",-0.523605097195132,0.0335632807057878,0.465292969676883,-0.0819846153203364,0.0444937921172246,0.0949816228985629
"IBSP/Fibroblast",-0.480294285995063,0.0438224754132283,0.46162687159953,-0.102213642087967,0.0720422822023758,0.143713112997112
"ITPK1/Neural",-0.802398061320812,0.85259092365829,0.983537361500211,-0.71050512188562,-0.204157857227549,-0.325387668706749
"ITPK1/MSC",-0.802398061320812,0.85259092365829,0.983537361500211,-0.71050512188562,-0.204157857227549,-0.32538766870675
"ITPK1/Fibroblast",-0.802398061320812,0.85259092365829,0.983537361500211,-0.71050512188562,-0.204157857227549,-0.325387668706749
"ITPK1/Megakaryocyte",-0.8216183336311,0.974476204152323,1.05582793420773,-0.809918766899082,-0.226571879595374,-0.362253941179517
"ITPK1/Myeloid",-0.802398061320812,0.85259092365829,0.983537361500211,-0.71050512188562,-0.204157857227549,-0.325387668706749
"ICAM2/Myeloid",-0.591963560937778,-0.488381290557402,0.188424687573733,0.383506548096898,0.0417679361991049,0.0790292503970802
"COL9A2/Neural",-0.414984518364682,-0.193583466774506,0.314771335440632,0.0840639060271618,0.133960971839601,0.247677802959293
