"","source","target","gene_A","gene_B","MeanLR","type_gene_A","type_gene_B"
"143","Megakaryocyte","MSC","SPARC","FGFR1",0.368522292869448,"Ligand","Receptor"
"144","Megakaryocyte","MSC","SPARC","ENG",0.476029955108414,"Ligand","Receptor"
"145","Megakaryocyte","Megakaryocyte","LGALS9","CD47",0.276535554107135,"Ligand","Receptor"
"146","Megakaryocyte","Megakaryocyte","APP","CD74",0.619625858554824,"Ligand","Receptor"
"147","Megakaryocyte","Megakaryocyte","APP","RPSA",0.937094671531949,"Ligand","Receptor"
"148","Megakaryocyte","Megakaryocyte","TGFB1","ITGB1",0.653555019768467,"Ligand","Receptor"
"149","Megakaryocyte","Megakaryocyte","TGFB1","CXCR4",0.436715669277372,"Ligand","Receptor"
"150","Megakaryocyte","Megakaryocyte","PPBP","ACKR1",1.91743726255115,"Ligand","Receptor"
"151","Megakaryocyte","Megakaryocyte","PF4","ACKR1",1.88670548572635,"Ligand","Receptor"
"152","Megakaryocyte","Megakaryocyte","LGALS1","ITGB1",0.712016829090964,"Ligand","Receptor"
"153","Megakaryocyte","Megakaryocyte","GZMA","F2R",0.309658209561448,"Ligand","Receptor"
"154","Megakaryocyte","Megakaryocyte","CCL5","ACKR1",1.34593642800033,"Ligand","Receptor"
"155","Megakaryocyte","Megakaryocyte","MIF","CD74_CXCR4",0.778368366955738,"Ligand","Receptor"
"156","Megakaryocyte","Megakaryocyte","MIF","TNFRSF14",0.564482360387348,"Ligand","Receptor"
"157","Megakaryocyte","Megakaryocyte","CALR","ITGA2B",0.550644318883298,"Ligand","Receptor"
"158","Megakaryocyte","Megakaryocyte","LGALS1","CD69",0.581785148819633,"Ligand","Receptor"
"159","Megakaryocyte","Megakaryocyte","GNAS","PTGDR",0.655701440905773,"Ligand","Receptor"
"160","Megakaryocyte","Megakaryocyte","TIMP1","CD63",1.51682002886253,"Ligand","Receptor"
"161","Megakaryocyte","Megakaryocyte","TGFB1","ENG",0.451508844647469,"Ligand","Receptor"
"162","Megakaryocyte","Megakaryocyte","F13A1","ITGB1",0.798712702183494,"Ligand","Receptor"
"163","Megakaryocyte","Megakaryocyte","LTB","TNFRSF1A",0.281800214986966,"Ligand","Receptor"
"164","Megakaryocyte","Megakaryocyte","HLA-B","CANX",1.85804333790474,"Ligand","Receptor"
"165","Megakaryocyte","Megakaryocyte","MYL9","CD69",1.08027270219111,"Ligand","Receptor"
"166","Megakaryocyte","Megakaryocyte","CALM1","MYLK",0.516007442726253,"Ligand","Receptor"
"167","Megakaryocyte","Megakaryocyte","CALM3","MYLK",1.08457502705312,"Ligand","Receptor"
"168","Megakaryocyte","Megakaryocyte","TGFB1","CAV1",0.459635487124453,"Ligand","Receptor"
"169","Megakaryocyte","Megakaryocyte","CALM3","GP6",0.982747929630288,"Ligand","Receptor"
"170","Megakaryocyte","Megakaryocyte","HMGB1","CXCR4",0.847109334676341,"Ligand","Receptor"
"171","Megakaryocyte","Megakaryocyte","CALM1","GP6",0.414180345303416,"Ligand","Receptor"
"172","Megakaryocyte","Megakaryocyte","LCN2","FCGR2A",0.662230492377346,"Ligand","Receptor"
"173","Megakaryocyte","Fibroblast","APP","CD74",0.618801604180132,"Ligand","Receptor"
"174","Megakaryocyte","Fibroblast","APP","RPSA",0.806645766286909,"Ligand","Receptor"
"175","Megakaryocyte","Fibroblast","B2M","TFRC",2.72498344690355,"Ligand","Receptor"
"176","Megakaryocyte","Fibroblast","TGFB1","ITGB1",0.447214433497789,"Ligand","Receptor"
"177","Megakaryocyte","Fibroblast","PPBP","ACKR1",1.99892941542533,"Ligand","Receptor"
"178","Megakaryocyte","Fibroblast","PF4","ACKR1",1.96819763860053,"Ligand","Receptor"
"179","Megakaryocyte","Fibroblast","CCL5","ACKR1",1.42742858087451,"Ligand","Receptor"
"180","Megakaryocyte","Fibroblast","CXCL3","ACKR1",0.232973163969523,"Ligand","Receptor"
"181","Megakaryocyte","Fibroblast","TIMP1","CD63",1.04326088223638,"Ligand","Receptor"
"182","Megakaryocyte","Fibroblast","TGFB1","ENG",0.534401112313942,"Ligand","Receptor"
"183","Megakaryocyte","Fibroblast","F13A1","ITGB1",0.592372115912817,"Ligand","Receptor"
"184","Megakaryocyte","Fibroblast","SPARC","ENG",0.453973512563675,"Ligand","Receptor"
"185","Megakaryocyte","Myeloid","TIMP1","CD63",1.22995200481002,"Ligand","Receptor"
"186","Fibroblast","Neural","LGALS9","SLC1A5",0.423726535454623,"Ligand","Receptor"
"187","Fibroblast","MSC","LGALS9","LRP1",0.313455277866923,"Ligand","Receptor"
"188","Fibroblast","MSC","LGALS9","CD47",0.276081245618271,"Ligand","Receptor"
"189","Fibroblast","MSC","LGALS9","MRC2",0.333085441787665,"Ligand","Receptor"
"190","Fibroblast","MSC","VWF","LRP1",0.397851123679524,"Ligand","Receptor"
"191","Fibroblast","MSC","CALR","ITGAV",0.446204825096258,"Ligand","Receptor"
"192","Fibroblast","MSC","CALR","LRP1",0.491374820911331,"Ligand","Receptor"
"193","Fibroblast","MSC","COL18A1","ITGA11_ITGB1",0.319245495193386,"Ligand","Receptor"
"194","Fibroblast","MSC","TIMP1","CD63",1.04220146624281,"Ligand","Receptor"
"195","Fibroblast","MSC","PSAP","LRP1",0.425281899060488,"Ligand","Receptor"
"196","Fibroblast","MSC","HSP90B1","LRP1",0.331873006967124,"Ligand","Receptor"
"197","Fibroblast","MSC","LGALS3","ENG",0.595005369891609,"Ligand","Receptor"
"198","Fibroblast","MSC","VWF","ITGB1",0.423401446056998,"Ligand","Receptor"
